n,k,dp-linear,dp-monotone,dp-linear-hirsch,dp-monotone-hirsch,lloyd_report,wilber
1000000,10,1830,1583,3938,3663,42,2617
1000000,20,3374,3345,8724,8363,30,2902
1000000,30,5225,4941,13769,12971,33,1762
1000000,40,6851,6734,18700,17982,45,3053
1000000,50,9670,8343,24228,22349,32,3096
1500000,10,2439,2508,5736,5779,35,3191
1500000,20,5469,5339,12732,12985,41,3187
1500000,30,8178,7720,20080,20322,50,4109
1500000,40,10520,10319,27782,27891,70,4170
1500000,50,14051,13420,35493,35844,55,4658
2000000,10,3454,3285,8036,8060,52,4074
2000000,20,7016,6917,16884,17675,62,5901
2000000,30,11199,10716,26908,28092,57,4374
2000000,40,15253,14508,38146,38062,68,5070
2000000,50,18046,17708,50349,48920,84,6786
2500000,10,4703,4990,10085,10040,74,5977
2500000,20,9225,8882,22405,22653,60,5530
2500000,30,13115,13671,36346,34788,84,6002
2500000,40,17832,18362,47966,48399,81,6363
2500000,50,23675,22660,62775,61997,84,8891
3000000,10,4888,5416,11980,12136,79,8004
3000000,20,10467,10693,26676,27083,69,7679
3000000,30,16496,16013,42917,43018,119,8629
3000000,40,21447,21849,59169,58885,82,8687
3000000,50,28303,27099,74565,74195,74,8696
3500000,10,5998,6081,13182,13878,110,9956
3500000,20,12837,12712,29970,31867,83,9462
3500000,30,18611,18985,48271,49871,94,10487
3500000,40,26761,26037,70257,69009,105,12549
3500000,50,31602,31521,85014,86694,123,12862
4000000,10,6550,6977,15649,16236,99,9895
4000000,20,15136,14482,36094,36599,110,11199
4000000,30,21770,21898,54819,58082,112,9937
4000000,40,29269,29228,78022,79259,126,7404
4000000,50,37486,36547,98259,100621,144,8896
4500000,10,7229,8013,17702,18359,104,13028
4500000,20,16606,16659,41205,42282,118,11722
4500000,30,23651,24812,65625,66836,125,11848
4500000,40,31947,33225,86195,90527,158,8479
4500000,50,39928,41283,113061,114912,159,10332
5000000,10,8671,8949,19141,20753,120,9243
5000000,20,18721,18225,45978,47177,128,9888
5000000,30,26733,28060,68359,73766,135,5442
5000000,40,36630,37792,97741,100816,146,12398
5000000,50,45508,46604,123579,128780,178,12803
5500000,10,9268,9814,20500,22740,116,10207
5500000,20,20105,20393,48090,52373,136,10288
5500000,30,31082,30506,79373,82204,143,5947
5500000,40,41237,41729,108970,112259,190,17177
5500000,50,50825,51750,133380,142315,194,13668
6000000,10,9948,10775,23021,25108,149,11087
6000000,20,21451,23259,52519,57696,133,11519
6000000,30,32554,33551,86087,90167,149,6580
6000000,40,41818,44847,113662,122255,151,15992
6000000,50,55343,56047,150318,157068,233,15569
6500000,10,11450,11806,24550,27074,152,18007
6500000,20,23906,24240,57345,62192,153,20531
6500000,30,36816,36620,90662,97486,168,24589
6500000,40,49589,49784,128252,134579,189,20066
6500000,50,61230,61270,161030,169824,171,24061
7000000,10,11654,12569,28131,29538,157,18751
7000000,20,24768,26844,64119,67396,172,23382
7000000,30,38262,39651,99196,105413,165,21191
